smiles_a,smiles_e,smiles_p,yeild_classification,yield_regression,type
CC(C)(C)c1ccc(CBr)cc1,C#Cc1cccc(N)c1,CC(C)(C)c1ccc(Cn2cc(-c3cccc(N)c3)nn2)cc1,1,37.5,Y
CC(C)(C)c1ccc(CBr)cc1,C#Cc1ccc(C#C)cc1,C#Cc1ccc(-c2cn(Cc3ccc(C(C)(C)C)cc3)nn2)cc1,1,35.3,Y
CC(C)(C)c1ccc(CBr)cc1,C#Cc1ccccc1Cl,CC(C)(C)c1ccc(Cn2cc(-c3ccccc3Cl)nn2)cc1,1,29.1,Y
CC(C)(C)c1ccc(CBr)cc1,C#Cc1ccc(F)cc1,CC(C)(C)c1ccc(Cn2cc(-c3ccc(F)cc3)nn2)cc1,1,36.94057216,Y
Fc1ccc(Br)c(Cl)c1,C#Cc1ccc(C(=O)OC)cc1,COC(=O)c1ccc(-c2cn(-c3ccc(F)cc3Cl)nn2)cc1,1,27,Y
Cc1ccc(CBr)cc1,C#CCc1ccccc1,Cc1ccc(Cn2cc(Cc3ccccc3)nn2)cc1,1,25.45240509,Y
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1,C#Cc1ccc(C(=O)OC)cc1,COC(=O)c1ccc(-c2cn(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)nn2)cc1,1,24,Y
Fc1ccc(Br)c(Cl)c1,C#Cc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(-c2cn(-c3ccc(F)cc3Cl)nn2)cc1,1,23.2,Y
COc1ccc(Br)c(OC)c1,C#Cc1cccc([N+](=O)[O-])c1,COc1ccc(-n2cc(-c3cccc([N+](=O)[O-])c3)nn2)c(OC)c1,1,18.47,Y
CC(C)(C)OC(=O)N1CCC(Br)C1,C#CCCCC(=O)O,CC(C)(C)OC(=O)N1CCC(n2cc(CCCC(=O)O)nn2)C1,1,18.39075145,Y
CC(C)(C)c1ccc(CBr)cc1,C#CCC(=O)OC,COC(=O)Cc1cn(Cc2ccc(C(C)(C)C)cc2)nn1,1,17.8,Y
Brc1nc2ccccc2s1,C#Cc1ccc(C(=O)O)cc1,O=C(O)c1ccc(-c2cn(-c3nc4ccccc4s3)nn2)cc1,1,15.6,Y
Brc1nc2ccccc2s1,C#Cc1cccc([N+](=O)[O-])c1,O=[N+]([O-])c1cccc(-c2cn(-c3nc4ccccc4s3)nn2)c1,1,15.3,Y
ClCCCCBr,C#CCCCC(=O)O,O=C(O)CCCc1cn(CCCCCl)nn1,1,12.59189794,Y
FC(F)(F)c1ccc(Br)cc1,C#Cc1cccc(N)c1,Nc1cccc(-c2cn(-c3ccc(C(F)(F)F)cc3)nn2)c1,1,12.56121208,Y
COc1ccc(Br)cc1OC,C#Cc1ccncc1,COc1ccc(-n2cc(-c3ccncc3)nn2)cc1OC,1,12.37845248,Y
Fc1ccc(Br)c(Cl)c1,C#Cc1ccc(N)cc1,Nc1ccc(-c2cn(-c3ccc(F)cc3Cl)nn2)cc1,1,12.3,Y
